"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 19 08:45:17 GMT+08:00 2020","Mon Oct 19 08:45:17 GMT+08:00 2020","0","src.test_suite.test_01","test_home","TestCaseHome","","","测试用例标题：点击－体验版/标准版/旗舰版－立即购买－支付页面是否正确",""
"broken","Mon Oct 19 08:45:17 GMT+08:00 2020","Mon Oct 19 08:45:17 GMT+08:00 2020","0","src.test_suite.test_01","test_home","TestCaseHome","","","测试用例标题：点击－免费试用/活动促销/加盟小渔夫－立即体验－页面跳转是否正确",""
"broken","Mon Oct 19 08:45:17 GMT+08:00 2020","Mon Oct 19 08:45:17 GMT+08:00 2020","0","src.test_suite.test_01","test_home","TestCaseHome","","","测试用例标题：点击－智能云站－立即试用－页面跳转是否正确",""
"broken","Mon Oct 19 08:44:53 GMT+08:00 2020","Mon Oct 19 08:44:53 GMT+08:00 2020","0","src.test_suite.test_01","test_home","TestCaseHome","","","测试用例标题：点击－海外营销生态服务平台－立即查看－页面跳转是否正确",""
"broken","Mon Oct 19 08:45:17 GMT+08:00 2020","Mon Oct 19 08:45:17 GMT+08:00 2020","0","src.test_suite.test_01","test_home","TestCaseHome","","","测试用例标题：点击－外贸学院－精选好课/Linkedin运营/外贸询盘分析&跟进技巧－立即学习－页面跳转是否正确",""
"broken","Mon Oct 19 08:45:17 GMT+08:00 2020","Mon Oct 19 08:45:17 GMT+08:00 2020","0","src.test_suite.test_01","test_home","TestCaseHome","","","测试用例标题：点击－智能云站－云站解决方案－查看详情－检查链接跳转是否正确",""
